Address,Lot,Price,Image_Link,Link,Title,Lot Description
Rizal,182,3424000,https://www.unionbankph.com/sites/default/files/2025-01/Screenshot%202025-01-16%20141352.png,https://www.unionbankph.com/foreclosed-properties/5497,"Brgy. San Roque, Antipolo",Vacant Lot
NCR,30,4275000,https://www.unionbankph.com/sites/default/files/2025-03/Screenshot%202025-03-13%20103615.png,https://www.unionbankph.com/foreclosed-properties/5836,"Barangay Bagumbayan, Quezon City, Metro Manila",Condominium
NCR,27,5633830,https://www.unionbankph.com/sites/default/files/2025-06/Capture_8.PNG,https://www.unionbankph.com/foreclosed-properties/6214,"Barangay Poblacion, Makati City, Metro Manila",Condominium
Laguna,88,1514700,https://www.unionbankph.com/sites/default/files/2025-06/Capture_30.PNG,https://www.unionbankph.com/foreclosed-properties/6239,"Barangay Barandal, Canlubang, Calamba City, Laguna",House and Lot
NCR,69,2686000,https://www.unionbankph.com/sites/default/files/2025-06/Capture_101.PNG,https://www.unionbankph.com/foreclosed-properties/6315,"Building 15, Unit 15-B-2, Urci Townhomes, Brgy Pamplona Tres, Las Piñas City, Metropolitan Manila",House and Lot
NCR,54,4812000,https://www.unionbankph.com/sites/default/files/2025-08/Capture_27.PNG,https://www.unionbankph.com/foreclosed-properties/6677,"Barangay 696, Zone 76, Manila",Condominium
Batangas,449,6735000,https://www.unionbankph.com/sites/default/files/2022-10/PTE%201.PNG,https://www.unionbankph.com/foreclosed-properties/3219,"Subdivision, Barangay San Gregorio, Laurel, Batangas",Vacant Lot
NCR,50,7020000,https://www.unionbankph.com/sites/default/files/2023-02/3.1_1.PNG,https://www.unionbankph.com/foreclosed-properties/3428,"Barangay Tandang Sora, Quezon City, Metro Manila",Town House
NCR,41,3847500,https://www.unionbankph.com/sites/default/files/2024-02/5.PNG,https://www.unionbankph.com/foreclosed-properties/4300,"Brgy. Bagumbayan, Quezon City, Metro Manila",Condominium
Laguna,374,4974200,https://www.unionbankph.com/sites/default/files/2025-01/Screenshot%202025-01-09%20154646.png,https://www.unionbankph.com/foreclosed-properties/5361,"Subdivision, Barangay San Antonio, San Pedro, Laguna",Vacant Lot
NCR,29,3625000,https://www.unionbankph.com/sites/default/files/2025-01/Screenshot%202025-01-15%20101625_1.png,https://www.unionbankph.com/foreclosed-properties/5449,"Brgy. Katipunan, Quezon City",Condominium
Bulacan,48,2700000,https://www.unionbankph.com/sites/default/files/2025-01/Screenshot%202025-01-23%20142033.png,https://www.unionbankph.com/foreclosed-properties/5711,"BARANGAY MATUNGAO, MUNICIPALITY OF BULACAN, PROVINCE OF BULACAN",House and Lot
NCR,65,5720000,https://www.unionbankph.com/sites/default/files/2025-04/Capture_64.PNG,https://www.unionbankph.com/foreclosed-properties/6054,"BRGY. PULANG LUPA DOS, LAS PINAS CITY",House and Lot
NCR,26,4144000,https://www.unionbankph.com/sites/default/files/2025-08/Capture_26.PNG,https://www.unionbankph.com/foreclosed-properties/6676,"Barangay Hulo, Mandaluyong City, Metro",Condominium
Isabela,100,1690000,https://www.unionbankph.com/sites/default/files/2022-10/ATTABAN%201.PNG,https://www.unionbankph.com/foreclosed-properties/3210,"Brgy. Rizal, Santiago City, Isabela",House and Lot
NCR,63,8661000,https://www.unionbankph.com/sites/default/files/2023-02/7.PNG,https://www.unionbankph.com/foreclosed-properties/3423,"Building 2 (Zurich Building), Aurora Boulevard corner Balete Drive, Barangay Kaunlaran, New Manila District, Quezon City, Metro Manila",Condominium
NCR,32,4977050,https://www.unionbankph.com/sites/default/files/2024-02/4.4.PNG,https://www.unionbankph.com/foreclosed-properties/4299,"Barangay Bagumbayan, Quezon City, Metro Manila",Condominium
Laguna,196,2606800,https://www.unionbankph.com/sites/default/files/2025-01/Screenshot%202025-01-09%20154149.png,https://www.unionbankph.com/foreclosed-properties/5359,"Subdivision, Phase 1, Barangay San Antonio, San Pedro, Laguna",Vacant Lot
NCR,27,3186000,https://www.unionbankph.com/sites/default/files/2025-01/Screenshot%202025-01-15%20101625.png,https://www.unionbankph.com/foreclosed-properties/5448,"Brgy. Katipunan, Quezon City",Condominium
Laguna,99,4105630,https://www.unionbankph.com/sites/default/files/2025-08/Capture_20.PNG,https://www.unionbankph.com/foreclosed-properties/6670,"Barangay San Jose, San Pablo City, Laguna",Town House
Nueva Ecija,2,2951000,https://www.unionbankph.com/sites/default/files/2023-01/4.2_1.PNG,https://www.unionbankph.com/foreclosed-properties/3354,"Barangay Daan Sarile, Cabanatuan City, Nueva Ecija",Vacant Lot
Cavite,615,4919000,https://www.unionbankph.com/sites/default/files/2023-02/A_17.PNG,https://www.unionbankph.com/foreclosed-properties/3447,"Subdivision, Barangay Tanauan, Tanza, Cavite",Vacant Lot
Laguna,212,2819600,https://www.unionbankph.com/sites/default/files/2025-01/Screenshot%202025-01-09%20103433.png,https://www.unionbankph.com/foreclosed-properties/5340,"Subdivision, Phase 1, Barangay San Antonio, San Pedro, Laguna",Vacant Lot
Davao,330,12667000,https://www.unionbankph.com/sites/default/files/2025-01/Capture_25.PNG,https://www.unionbankph.com/foreclosed-properties/5583,"BRGY MATINA, DAVAO CITY",House and Lot
NCR,50,1049000,https://www.unionbankph.com/sites/default/files/2025-04/Capture_50.PNG,https://www.unionbankph.com/foreclosed-properties/6030,"BRGY. TALON TREA, LAS PINAS CITY",Town House
Laguna,98,1561450,https://www.unionbankph.com/sites/default/files/2025-06/Capture_14.PNG,https://www.unionbankph.com/foreclosed-properties/6222,"Brgy. Majada, Calamba City, Province Of Laguna",House and Lot
Laguna,182,2675400,https://www.unionbankph.com/sites/default/files/2025-01/Screenshot%202025-01-09%20155251.png,https://www.unionbankph.com/foreclosed-properties/5363,"Subdivision, Trails 1, Barangay San Antonio, San Pedro, Laguna",Vacant Lot
NCR,25,3150000,https://www.unionbankph.com/sites/default/files/2025-01/Screenshot%202025-01-15%20133543.png,https://www.unionbankph.com/foreclosed-properties/5454,"Barangay Kaunlaran, Quezon City",Condominium
NCR,32,3549660,https://www.unionbankph.com/sites/default/files/2025-03/Screenshot%202025-03-12%20170136.png,https://www.unionbankph.com/foreclosed-properties/5827,,Condominium
Nueva Ecija,60,2990000,https://www.unionbankph.com/sites/default/files/2025-04/Capture_70.PNG,https://www.unionbankph.com/foreclosed-properties/6059,"BRGY. STO. CRISTO SUR GAPAN CITY, NUEVA ECIJA",House and Lot
NCR,32,4799000,https://www.unionbankph.com/sites/default/files/2025-08/Capture_23.PNG,https://www.unionbankph.com/foreclosed-properties/6673,"Barangay Hulo, Mandaluyong City, Metro",Condominium
Rizal,280,8400000,https://www.unionbankph.com/sites/default/files/2023-01/3.1_4.PNG,https://www.unionbankph.com/foreclosed-properties/3369,"Subdivision, Timberland Heights, Barangay Gitnang Bayan Ii, (Ampid), San Mateo, Rizal",Vacant Lot
NCR,40,5092000,https://www.unionbankph.com/sites/default/files/2024-06/Capture_26.PNG,https://www.unionbankph.com/foreclosed-properties/4822,"Barangay Socorro, Cubao District, Quezon City, Metro Manila",Condominium
Laguna,289,6012000,https://www.unionbankph.com/sites/default/files/2025-01/Screenshot%202025-01-09%20161049.png,https://www.unionbankph.com/foreclosed-properties/5366,"Subdivision, Phase 1, Barangay San Antonio, San Pedro, Laguna",Vacant Lot
Cavite,138,5561000,https://www.unionbankph.com/sites/default/files/2025-01/Screenshot%202025-01-16%20134250.png,https://www.unionbankph.com/foreclosed-properties/5491,"Barangay Bagtas, Municipality Of Tanza, Province Of Cavite""",House and Lot
NCR,62,7775000,https://www.unionbankph.com/sites/default/files/2025-03/Screenshot%202025-03-13%20102901.png,https://www.unionbankph.com/foreclosed-properties/5835,"Barangay Bagumbayan, Quezon City, Metro Manila",Condominium
Laguna,104,1589500,https://www.unionbankph.com/sites/default/files/2025-06/Capture_6.PNG,https://www.unionbankph.com/foreclosed-properties/6212,"Barangay Majada Labas, Calamba City, Laguna",House and Lot
NCR,26,5051000,https://www.unionbankph.com/sites/default/files/2025-08/Capture_25.PNG,https://www.unionbankph.com/foreclosed-properties/6675,"Brgy. Hulo, Mandaluyong",Condominium
