Address,Lot,Price,Image_Link,Link,Title,Lot Description,lat,long
Laguna,135,1795500,https://www.unionbankph.com/sites/default/files/2025-01/Screenshot%202025-01-09%20151809.png,https://www.unionbankph.com/foreclosed-properties/5358,"Subdivision, Phase 1, Barangay San Antonio, San Pedro, Laguna",Vacant Lot,NULL,NULL
NCR,23,3634000,https://www.unionbankph.com/sites/default/files/2025-01/Screenshot%202025-01-15%20091951.png,https://www.unionbankph.com/foreclosed-properties/5445,Brgy. Ugong Pasig City,Condominium,14.5791093,121.0786482
NCR,37,3015630,https://www.unionbankph.com/sites/default/files/2025-01/49.PNG,https://www.unionbankph.com/foreclosed-properties/5699,"BARANGAY SUCAT, MUNTINLUPA CITY, METROPOLITAN MANILA",Condominium,NULL,NULL
Misamis Oriental,107,4400000,https://www.unionbankph.com/sites/default/files/2025-04/Capture_59.PNG,https://www.unionbankph.com/foreclosed-properties/6048,"Subdivision, Barangay Kauswagan, Cagayan de Oro City, Misamis Oriental",House and Lot,NULL,NULL
Laguna,86,1505350,https://www.unionbankph.com/sites/default/files/2025-06/Capture_38.PNG,https://www.unionbankph.com/foreclosed-properties/6248,"Barangay Majada Calamba City, Province Of Laguna",House and Lot,NULL,NULL
Laguna,83,1491330,https://www.unionbankph.com/sites/default/files/2025-06/Capture_55.PNG,https://www.unionbankph.com/foreclosed-properties/6271,"Barangay Barandal, Calamba City, Province Of Laguna",House and Lot,14.1882628,121.1302804
Laguna,145,1781180,https://www.unionbankph.com/sites/default/files/2025-06/Capture_93.PNG,https://www.unionbankph.com/foreclosed-properties/6308,"Barangay Barandal, Calamba City, Province Of Laguna",House and Lot,14.1882628,121.1302804
Misamis Oriental,44,1736000,https://www.unionbankph.com/sites/default/files/2025-08/Capture_18.PNG,https://www.unionbankph.com/foreclosed-properties/6668,"Subdivision, Gran Europa, Brgy. Lumbia, Cagayan De Oro City",House and Lot,NULL,NULL
Rizal,42,1463000,https://www.unionbankph.com/sites/default/files/2022-11/12.PNG,https://www.unionbankph.com/foreclosed-properties/3318,"Subdivision, Barangay Jibao-an, Pavia, Iloilo",Town House,NULL,NULL
Cavite,709,5670000,https://www.unionbankph.com/sites/default/files/2023-02/A_15.PNG,https://www.unionbankph.com/foreclosed-properties/3443,"Subdivision, Barangay Tanauan, Tanza, Cavite",Vacant Lot,NULL,NULL
Batangas,186,9114000,https://www.unionbankph.com/sites/default/files/2025-01/Screenshot%202025-01-09%20090133.png,https://www.unionbankph.com/foreclosed-properties/5330,"Subdivision, Barangay Niuyugan, Laurel, Batangas",Condominium,NULL,NULL
Bulacan,66,2267100,https://www.unionbankph.com/sites/default/files/2025-01/Screenshot%202025-01-10%20155007.png,https://www.unionbankph.com/foreclosed-properties/5396,"Brgy. Kaypian San Jose Del Monte, Bulacan",House and Lot,14.8137008,121.0573739
Rizal,1,18378000,https://www.unionbankph.com/sites/default/files/2025-01/Screenshot%202025-01-21%20142958.png,https://www.unionbankph.com/foreclosed-properties/5560,"SUBDIVISION, BARANGAY SAN ROQUE (FORMERLY BARANGAY CALIQUE), ANTIPOLO CITY, PROVINCE OF RIZAL",Vacant Lot,NULL,NULL
Davao,80,2760000,https://www.unionbankph.com/sites/default/files/2025-01/Capture_15.PNG,https://www.unionbankph.com/foreclosed-properties/5671,"BRGY. STO. NIÑO, TUGBOK DISTRICT, DAVAO CITY",House and Lot,NULL,NULL
Cavite,138,6031000,https://www.unionbankph.com/sites/default/files/2025-04/Capture_58.PNG,https://www.unionbankph.com/foreclosed-properties/6047,"BRGY. BAGTAS, TANZA, CAVITE",House and Lot,NULL,NULL
Cebu,57,3462230,https://www.unionbankph.com/sites/default/files/2025-08/Capture_14.PNG,https://www.unionbankph.com/foreclosed-properties/6659,Building Brgy. Mabolo Cebu City,Condominium,NULL,NULL
Laguna,81,1195430,https://www.unionbankph.com/sites/default/files/2025-09/Capture_39.PNG,https://www.unionbankph.com/foreclosed-properties/7097,"Subdivision, Barangay San Pablo Sur, Sta. Cruz, Laguna",House and Lot,NULL,NULL
